observation_date,value
1950-01-01,1533460.875
1951-01-01,1640982.375
1952-01-01,1767725.375
1953-01-01,1894398.250
1954-01-01,2043172.875
1955-01-01,2249340.250
1956-01-01,2453411.750
1957-01-01,2654530.500
1958-01-01,2850318.500
1959-01-01,3083876.750
1960-01-01,3372031.000
1961-01-01,3655636.500
1962-01-01,3939226.000
1963-01-01,4204297.500
1964-01-01,4515295.000
1965-01-01,4842394.500
1966-01-01,5146593.000
1967-01-01,5381993.000
1968-01-01,5658863.000
1969-01-01,5988881.500
1970-01-01,6354799.000
1971-01-01,6738914.500
1972-01-01,7121239.500
1973-01-01,7488477.000
1974-01-01,7785242.500
1975-01-01,8042020.000
1976-01-01,8310321.500
1977-01-01,8595205.000
1978-01-01,8900164.000
1979-01-01,9228963.000
1980-01-01,9556881.000
1981-01-01,9836133.000
1982-01-01,10072060.000
1983-01-01,10319101.000
1984-01-01,10558161.000
1985-01-01,10791098.000
1986-01-01,11032526.000
1987-01-01,11275890.000
1988-01-01,11541373.000
1989-01-01,11843850.000
1990-01-01,12189045.000
1991-01-01,12553080.000
1992-01-01,12926008.000
1993-01-01,13242672.000
1994-01-01,13581039.000
1995-01-01,13908999.000
1996-01-01,14225370.000
1997-01-01,14536507.000
1998-01-01,14867863.000
1999-01-01,15217082.000
2000-01-01,15566046.000
2001-01-01,15866557.000
2002-01-01,16093383.000
2003-01-01,16296018.000
2004-01-01,16489087.000
2005-01-01,16680977.000
2006-01-01,16922098.000
2007-01-01,17172432.000
2008-01-01,17415402.000
2009-01-01,17556428.000
2010-01-01,17741678.000
2011-01-01,17981700.000
2012-01-01,18208556.000
2013-01-01,18415930.000
2014-01-01,18647862.000
2015-01-01,18885398.000
2016-01-01,19145834.000
2017-01-01,19417412.000
2018-01-01,19707832.000
2019-01-01,20002264.000
2020-01-01,20254192.000
2021-01-01,20509570.000
2022-01-01,20761662.000
2023-01-01,20997920.000
